RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR
280,LIU,NEC,33,17,94.8,103.9,0.2581,47.7,48,20.1
281,Western Michigan,MAC,32,12,101.8,111.7,0.2555,47,54.5,15.8
282,Texas Southern,SWAC,32,15,95.4,104.9,0.253,47.5,47.4,19.8
283,Austin Peay,ASun,33,14,102,112.2,0.2505,48.7,53.8,14.8
284,Marist,MAAC,30,20,96.5,106.2,0.2491,49.9,46.9,18.4
285,Tarleton St.,WAC,32,12,93.2,102.7,0.2483,45.9,52.1,25.1
286,Stephen F. Austin,Slnd,31,14,95.4,105.1,0.2462,46.7,49.2,22.2
287,Navy,Pat,34,15,101,111.5,0.2431,48,52.5,16.1
288,Tennessee Martin,OVC,33,14,102,112.6,0.2428,47.6,52.3,19.5
289,Air Force,MWC,32,4,98.7,109.3,0.2375,50.1,54.6,20.8
290,Tennessee Tech,OVC,32,15,101.1,111.9,0.237,50.7,49.6,17.4
291,Weber St.,BSky,34,12,100.9,111.8,0.235,50.2,53.4,16.9
292,San Diego,WCC,33,6,100.1,111,0.2333,45.7,54,18.4
293,Old Dominion,SB,35,15,99.4,110.6,0.2266,44.1,51.2,16.9
294,Lafayette,Pat,33,13,97.6,108.7,0.2263,50.2,50.4,16.6
295,Saint Peter's,MAAC,28,12,94.8,105.5,0.226,44.7,47.3,20.7
296,Bethune Cookman,SWAC,33,17,97.3,108.5,0.223,48.2,48.8,19.5
297,Oral Roberts,Sum,30,7,103.8,115.7,0.222,50,55,16.3
298,Utah Tech,WAC,33,7,101.7,113.7,0.2185,48.8,53,18.3
299,Columbia,Ivy,27,12,104.2,116.5,0.2172,52.6,56.4,15.4
300,Lehigh,Pat,30,11,99.5,111.3,0.2161,51.1,50.7,15.6
301,Saint Francis,NEC,33,16,99.9,112,0.2114,51.6,51.3,19.6
302,Howard,MEAC,32,12,103.1,115.7,0.21,53.5,52.3,21.2
303,Penn,Ivy,27,8,103.1,115.7,0.209,49.4,53,16.4
304,Fairleigh Dickinson,NEC,33,13,97.7,109.7,0.2073,49.1,50.5,17.1
305,Louisiana,SB,33,12,97.4,109.7,0.2042,45.7,51.3,16
306,Southern Miss,SB,33,11,96.4,108.6,0.2021,47.9,50.2,19.5
307,Rider,MAAC,33,14,101.8,114.8,0.2013,47.7,53.1,17.2
308,Charleston Southern,BSth,32,10,99,111.6,0.2007,48.7,53.4,19.9
309,Long Beach St.,BW,32,7,100.7,113.6,0.2,49.2,53.4,21.7
310,Loyola MD,Pat,31,12,99.7,112.7,0.1972,50.1,52.8,17.7
311,VMI,SC,34,15,98.4,111.3,0.1947,48.5,54.2,18
312,Army,Pat,31,16,100.1,113.4,0.1935,49.7,53.7,14.7
313,Delaware St.,MEAC,30,16,100.9,114.3,0.1923,48.8,53.8,18.1
314,IU Indy,Horz,32,10,109,123.5,0.1921,50.4,57,15.7
315,Eastern Illinois,OVC,31,12,93.3,105.8,0.1912,44.1,51,18.7
316,Binghamton,AE,32,15,98.8,112.1,0.1891,51.6,49.7,19.6
317,Boston University,Pat,32,16,98.1,111.4,0.189,50.2,52.4,20.6
318,UMBC,AE,32,13,104.8,119,0.1873,55.2,54.1,15.9
319,Lindenwood,OVC,33,16,94.5,107.6,0.1826,45,50.7,17.9
320,North Carolina Central,MEAC,33,14,102.4,116.7,0.1823,50.1,54.8,19.2
321,Morehead St.,OVC,32,15,98,111.7,0.1818,45.9,50.3,18.4
322,Alcorn St.,SWAC,32,11,97.3,110.9,0.1816,46.1,53,19.6
323,Grambling St.,SWAC,34,12,95.3,108.6,0.1816,47.3,49.3,19.2
324,Coastal Carolina,SB,32,10,100.8,115,0.1789,49.4,48.6,18.4
325,Southern Utah,WAC,31,12,95.8,109.4,0.1787,46.8,49.9,21.6
326,Florida A&M,SWAC,31,14,101.9,116.4,0.178,50.6,51.4,20.7
327,Niagara,MAAC,31,11,100.6,115.3,0.1724,52,53,18.6
328,Stonehill,NEC,32,15,99.9,115,0.166,51.1,50.9,18.3
329,Holy Cross,Pat,32,13,100.7,115.8,0.1657,53.1,53.5,17.9
330,Green Bay,Horz,32,4,100.4,115.8,0.1624,50.9,54.8,18
331,Stony Brook,CAA,32,8,101.6,117.3,0.1607,47.7,56,18.3
332,Texas A&M Commerce,Slnd,31,5,96.2,111.2,0.1583,49.2,53.8,22.5
333,Mercyhurst,NEC,31,15,100,115.8,0.1558,48.6,55,16.4
334,USC Upstate,BSth,32,6,99.1,114.9,0.1541,49.8,56.1,19
335,Fairfield,MAAC,32,12,97.3,113.3,0.1481,46.3,53.7,15.5
336,Southern Indiana,OVC,30,10,98.6,114.8,0.1481,47.9,51.8,17.2
337,Morgan St.,MEAC,32,14,100.4,117,0.1479,49,52.4,17.9
338,Bellarmine,ASun,31,5,103.5,120.5,0.1472,53.7,58.1,17.4
339,North Carolina A&T,CAA,32,7,96.4,112.6,0.1442,45.8,51.5,15.4
340,Wagner,NEC,30,14,93.1,109.1,0.139,43.7,50.4,19.4
341,Western Carolina,SC,30,8,95.4,112.4,0.1324,45.4,51.1,19
342,Western Illinois,OVC,31,12,99.1,116.8,0.132,50.1,51.1,18.2
343,West Georgia,ASun,31,6,97.1,114.5,0.1309,47.2,56.1,16.3
344,Louisiana Monroe,SB,32,7,96.5,114.5,0.1228,45,53.6,17.1
345,Buffalo,MAC,31,9,95.4,113.2,0.1227,48.8,54.2,19.5
346,Detroit Mercy,Horz,32,8,94.6,112.3,0.1216,45.6,51.2,19.1
347,Le Moyne,NEC,32,9,102.7,122.2,0.1189,51.5,54.7,19.6
348,Sacramento St.,BSky,32,7,95.4,113.6,0.1187,48,55.1,20.3
349,Northern Illinois,MAC,31,6,94,112.1,0.1168,47.1,53.2,16.3
350,New Orleans,Slnd,31,4,98.8,117.9,0.1161,45.9,54.9,18.8
351,Central Arkansas,ASun,33,9,97.4,116.6,0.1122,47.4,56.8,18.2
352,Stetson,ASun,32,8,99.2,119,0.1092,50.2,53.1,18.7
353,NJIT,AE,31,6,94,113.5,0.1024,45.3,50,18
354,Cal St. Fullerton,BW,32,6,92.1,111.7,0.0973,44.2,54.3,21.3
355,Canisius,MAAC,31,3,99.1,121.1,0.0912,51.2,56.9,18.5
356,New Hampshire,AE,32,8,93.8,115.1,0.0873,47.1,54.4,19
357,Prairie View A&M,SWAC,32,5,95.9,117.7,0.0867,48.2,56.2,16.7
358,Alabama A&M,SWAC,32,10,92.8,114.9,0.0793,45.1,54.3,21.9
359,Maryland Eastern Shore,MEAC,31,6,94.8,118.8,0.0699,45.7,55.3,19.7
360,The Citadel,SC,30,5,93.6,117.5,0.0687,46.9,54.5,19.5
361,Chicago St.,NEC,32,4,92.5,116.1,0.0682,44.4,54.9,18.5
362,Coppin St.,MEAC,30,6,87.8,112.4,0.055,44,55.6,21.6
363,Arkansas Pine Bluff,SWAC,31,6,95,121.7,0.0549,50.3,56.3,20.4
364,Mississippi Valley St.,SWAC,31,3,82.9,125.2,0.0086,42.1,57.9,24.3
